icd9code,long_description,short_description
727.05,Other tenosynovitis of hand and wrist,Tenosynov hand/wrist NEC
727.06,Tenosynovitis of foot and ankle,Tenosynovitis foot/ankle
727.09,Other synovitis and tenosynovitis,Synovitis NEC
727.1,Bunion,Bunion
727.2,Specific bursitides often of occupational origin,Occupational bursitis
727.3,Other bursitis,Bursitis NEC
727.40,Synovial cyst - unspecified,Synovial cyst NOS
727.41,Ganglion of joint,Ganglion of joint
727.42,Ganglion of tendon sheath,Ganglion of tendon
727.43,Ganglion - unspecified,Ganglion NOS
727.49,Other ganglion and cyst of synovium - tendon - and bursa,Bursal cyst NEC
727.50,Rupture of synovium - unspecified,Rupture of synovium NOS
727.51,Synovial cyst of popliteal space,Popliteal synovial cyst
727.59,Other rupture of synovium,Rupture of synovium NEC
727.60,Nontraumatic rupture of unspecified tendon,Nontraum tendon rupt NOS
727.61,Complete rupture of rotator cuff,Rotator cuff rupture
727.62,Nontraumatic rupture of tendons of biceps (long head),Biceps tendon rupture
727.63,Nontraumatic rupture of extensor tendons of hand and wrist,Rupt exten tendon hand
727.64,Nontraumatic rupture of flexor tendons of hand and wrist,Rupt flexor tendon hand
727.65,Nontraumatic rupture of quadriceps tendon,Rupture quadricep tendon
727.66,Nontraumatic rupture of patellar tendon,Rupture patellar tendon
727.67,Nontraumatic rupture of achilles tendon,Rupture achilles tendon
727.68,Nontraumatic rupture of other tendons of foot and ankle,Rupture tendon foot NEC
727.69,Nontraumatic rupture of other tendon,Nontraum tendon rupt NEC
727.81,Contracture of tendon (sheath),Contracture of tendon
727.82,Calcium deposits in tendon and bursa,Calcium deposit tendon
727.83,Plica syndrome,Plica syndrome
727.89,Other disorders of synovium - tendon - and bursa,Synov/tend/bursa dis NEC
727.9,Unspecified disorder of synovium - tendon - and bursa,Synov/tend/bursa dis NOS
728.0,Infective myositis,Infective myositis
728.10,Calcification and ossification - unspecified,Muscular calcificat NOS
728.11,Progressive myositis ossificans,Prog myositis ossificans
728.12,Traumatic myositis ossificans,Traum myositis ossifican
728.13,Postoperative heterotopic calcification,Postop heterotopic calc
728.19,Other muscular calcification and ossification,Muscular calcificat NEC
728.2,Muscular wasting and disuse atrophy - not elsewhere classified,Musc disuse atrophy NEC
728.3,Other specific muscle disorders,Muscle disorders NEC
728.4,Laxity of ligament,Laxity of ligament
728.5,Hypermobility syndrome,Hypermobility syndrome
728.6,Contracture of palmar fascia,Contracted palmar fascia
728.71,Plantar fascial fibromatosis,Plantar fibromatosis
728.79,Other fibromatoses of muscle - ligament - and fascia,Fibromatoses NEC
728.81,Interstitial myositis,Interstitial myositis
728.82,Foreign body granuloma of muscle,FB granuloma of muscle
728.83,Rupture of muscle - nontraumatic,Nontraum muscle rupture
728.84,Diastasis of muscle,Diastasis of muscle
728.85,Spasm of muscle,Spasm of muscle
728.86,Necrotizing fasciitis,Necrotizing fasciitis
728.87,Muscle weakness (generalized),Muscle weakness-general
728.88,Rhabdomyolysis,Rhabdomyolysis
728.89,Other disorders of muscle - ligament - and fascia,Muscle/ligament dis NEC
728.9,Unspecified disorder of muscle - ligament - and fascia,Muscle/ligament dis NOS
729.0,Rheumatism - unspecified and fibrositis,Rheumatism NOS
729.1,Myalgia and myositis - unspecified,Myalgia and myositis NOS
729.2,Neuralgia - neuritis - and radiculitis - unspecified,Neuralgia/neuritis NOS
729.30,Panniculitis - unspecified site,Panniculitis - unsp site
729.31,Hypertrophy of fat pad - knee,Hypertrophy of fat pad
729.39,Panniculitis - other site,Panniculitis - site NEC
729.4,Fasciitis - unspecified,Fasciitis NOS
729.5,Pain in limb,Pain in limb
729.6,Residual foreign body in soft tissue,Old FB in soft tissue
729.71,Nontraumatic compartment syndrome of upper extremity,Nontraum comp syn-up ext
729.72,Nontraumatic compartment syndrome of lower extremity,Nontraum comp syn-low ex
729.73,Nontraumatic compartment syndrome of abdomen,Nontrauma comp syn-abd
729.79,Nontraumatic compartment syndrome of other sites,Nontrauma comp syn NEC
729.81,Swelling of limb,Swelling of limb
729.82,Cramp of limb,Cramp in limb
729.89,Other musculoskeletal symptoms referable to limbs,Muscskel sympt limb NEC
729.90,Disorders of soft tissue - unspecified,Soft tissue disord NOS
729.91,Post-traumatic seroma,Post-traumatic seroma
729.92,Nontraumatic hematoma of soft tissue,Nontrauma hema soft tiss
729.99,Other disorders of soft tissue,Soft tissue disorder NEC
730.00,Acute osteomyelitis - site unspecified,Ac osteomyelitis-unspec
730.01,Acute osteomyelitis - shoulder region,Ac osteomyelitis-shlder
730.02,Acute osteomyelitis - upper arm,Ac osteomyelitis-up/arm
730.03,Acute osteomyelitis - forearm,Ac osteomyelitis-forearm
730.04,Acute osteomyelitis - hand,Ac osteomyelitis-hand
730.05,Acute osteomyelitis - pelvic region and thigh,Ac osteomyelitis-pelvis
730.06,Acute osteomyelitis - lower leg,Ac osteomyelitis-l/leg
730.07,Acute osteomyelitis - ankle and foot,Ac osteomyelitis-ankle
730.08,Acute osteomyelitis - other specified sites,Ac osteomyelitis NEC
730.09,Acute osteomyelitis - multiple sites,Ac osteomyelitis-mult
730.10,Chronic osteomyelitis - site unspecified,Chr osteomyelitis-unsp
730.11,Chronic osteomyelitis - shoulder region,Chr osteomyelit-shlder
730.12,Chronic osteomyelitis - upper arm,Chr osteomyelit-up/arm
730.13,Chronic osteomyelitis - forearm,Chr osteomyelit-forearm
730.14,Chronic osteomyelitis - hand,Chr osteomyelit-hand
730.15,Chronic osteomyelitis - pelvic region and thigh,Chr osteomyelit-pelvis
730.16,Chronic osteomyelitis - lower leg,Chr osteomyelit-l/leg
730.17,Chronic osteomyelitis - ankle and foot,Chr osteomyelit-ankle
730.18,Chronic osteomyelitis - other specified sites,Chr osteomyelit NEC
730.19,Chronic osteomyelitis - multiple sites,Chr osteomyelit-mult
730.20,Unspecified osteomyelitis - site unspecified,Osteomyelitis NOS-unspec
730.21,Unspecified osteomyelitis - shoulder region,Osteomyelitis NOS-shlder
730.22,Unspecified osteomyelitis - upper arm,Osteomyelitis NOS-up/arm
730.23,Unspecified osteomyelitis - forearm,Osteomyelit NOS-forearm
730.24,Unspecified osteomyelitis - hand,Osteomyelitis NOS-hand
730.25,Unspecified osteomyelitis - pelvic region and thigh,Osteomyelitis NOS-pelvis
730.26,Unspecified osteomyelitis - lower leg,Osteomyelitis NOS-l/leg
730.27,Unspecified osteomyelitis - ankle and foot,Osteomyelitis NOS-ankle
730.28,Unspecified osteomyelitis - other specified sites,Osteomyelit NOS-oth site
730.29,Unspecified osteomyelitis - multiple sites,Osteomyelitis NOS-mult
730.30,Periostitis - without mention of osteomyelitis - site unspecified,Periostitis-unspec
730.31,Periostitis - without mention of osteomyelitis - shoulder region,Periostitis-shlder
730.32,Periostitis - without mention of osteomyelitis - upper arm,Periostitis-up/arm
730.33,Periostitis - without mention of osteomyelitis - forearm,Periostitis-forearm
730.34,Periostitis - without mention of osteomyelitis - hand,Periostitis-hand
730.35,Periostitis - without mention of osteomyelitis - pelvic region and thigh,Periostitis-pelvis
730.36,Periostitis - without mention of osteomyelitis - lower leg,Periostitis-l/leg
730.37,Periostitis - without mention of osteomyelitis - ankle and foot,Periostitis-ankle
730.38,Periostitis - without mention of osteomyelitis - other specified sites,Periostitis NEC
730.39,Periostitis - without mention of osteomyelitis - multiple sites,Periostitis-mult
730.70,Osteopathy resulting from poliomyelitis - site unspecified,Polio osteopathy-unspec
730.71,Osteopathy resulting from poliomyelitis - shoulder region,Polio osteopathy-shlder
730.72,Osteopathy resulting from poliomyelitis - upper arm,Polio osteopathy-up/arm
730.73,Osteopathy resulting from poliomyelitis - forearm,Polio osteopathy-forearm
730.74,Osteopathy resulting from poliomyelitis - hand,Polio osteopathy-hand
730.75,Osteopathy resulting from poliomyelitis - pelvic region and thigh,Polio osteopathy-pelvis
730.76,Osteopathy resulting from poliomyelitis - lower leg,Polio osteopathy-l/leg
730.77,Osteopathy resulting from poliomyelitis - ankle and foot,Polio osteopathy-ankle
730.78,Osteopathy resulting from poliomyelitis - other specified sites,Polio osteopathy NEC
730.79,Osteopathy resulting from poliomyelitis - multiple sites,Polio osteopathy-mult
730.80,Other infections involving bone in diseases classified elsewhere - site unspecified,Bone infect NEC-unspec
730.81,Other infections involving bone in diseases classified elsewhere - shoulder region,Bone infect NEC-shlder
730.82,Other infections involving bone in diseases classified elsewhere - upper arm,Bone infect NEC-up/arm
730.83,Other infections involving bone in diseases classified elsewhere - forearm,Bone infect NEC-forearm
730.84,Other infections involving bone in diseases classified elsewhere - hand,Bone infect NEC-hand
730.85,Other infections involving bone in diseases classified elsewhere - pelvic region and thigh,Bone infect NEC-pelvis
730.86,Other infections involving bone in diseases classified elsewhere - lower leg,Bone infect NEC-l/leg
730.87,Other infections involving bone in diseases classified elsewhere - ankle and foot,Bone infect NEC-ankle
730.88,Other infections involving bone in diseases classified elsewhere - other specified sites,Bone infect NEC-oth site
730.89,Other infections involving bone in diseases classified elsewhere - multiple sites,Bone infect NEC-mult
730.90,Unspecified infection of bone - site unspecified,Bone infec NOS-unsp site
730.91,Unspecified infection of bone - shoulder region,Bone infect NOS-shlder
730.92,Unspecified infection of bone - upper arm,Bone infect NOS-up/arm
730.93,Unspecified infection of bone - forearm,Bone infect NOS-forearm
730.94,Unspecified infection of bone - hand,Bone infect NOS-hand
730.95,Unspecified infection of bone - pelvic region and thigh,Bone infect NOS-pelvis
730.96,Unspecified infection of bone - lower leg,Bone infect NOS-l/leg
730.97,Unspecified infection of bone - ankle and foot,Bone infect NOS-ankle
730.98,Unspecified infection of bone - other specified sites,Bone infect NOS-oth site
730.99,Unspecified infection of bone - multiple sites,Bone infect NOS-mult
731.0,Osteitis deformans without mention of bone tumor,Osteitis deformans NOS
731.1,Osteitis deformans in diseases classified elsewhere,Osteitis def in oth dis
731.2,Hypertrophic pulmonary osteoarthropathy,Hypertroph osteoarthrop
731.3,Major osseous defects,Major osseous defects
731.8,Other bone involvement in diseases classified elsewhere,Bone involv in oth dis
732.0,Juvenile osteochondrosis of spine,Juv osteochondros spine
732.1,Juvenile osteochondrosis of hip and pelvis,Juv osteochondros pelvis
732.2,Nontraumatic slipped upper femoral epiphysis,Femoral epiphysiolysis
732.3,Juvenile osteochondrosis of upper extremity,Juv osteochondrosis arm
732.4,Juvenile osteochondrosis of lower extremity - excluding foot,Juv osteochondrosis leg
732.5,Juvenile osteochondrosis of foot,Juv osteochondrosis foot
732.6,Other juvenile osteochondrosis,Juv osteochondrosis NEC
732.7,Osteochondritis dissecans,Osteochondrit dissecans
732.8,Other specified forms of osteochondropathy,Osteochondropathy NEC
732.9,Unspecified osteochondropathy,Osteochondropathy NOS
733.00,Osteoporosis - unspecified,Osteoporosis NOS
733.01,Senile osteoporosis,Senile osteoporosis
733.02,Idiopathic osteoporosis,Idiopathic osteoporosis
733.03,Disuse osteoporosis,Disuse osteoporosis
733.09,Other osteoporosis,Osteoporosis NEC
733.10,Pathologic fracture - unspecified site,Path fx unspecified site
733.11,Pathologic fracture of humerus,Path fx humerus
733.12,Pathologic fracture of distal radius and ulna,Path fx dstl radius ulna
733.13,Pathologic fracture of vertebrae,Path fx vertebrae
733.14,Pathologic fracture of neck of femur,Path fx neck of femur
733.15,Pathologic fracture of other specified part of femur,Path fx oth spcf prt fmr
733.16,Pathologic fracture of tibia or fibula,Path fx tibia fibula
733.19,Pathologic fracture of other specified site,Path fx oth specif site
733.20,Cyst of bone (localized) - unspecified,Cyst of bone NOS
733.21,Solitary bone cyst,Solitary bone cyst
733.22,Aneurysmal bone cyst,Aneurysmal bone cyst
733.29,Other bone cyst,Bone cyst NEC
733.3,Hyperostosis of skull,Hyperostosis of skull
733.40,Aseptic necrosis of bone - site unspecified,Asept necrosis bone NOS
733.41,Aseptic necrosis of head of humerus,Aseptic necrosis humerus
733.42,Aseptic necrosis of head and neck of femur,Aseptic necrosis femur
733.43,Aseptic necrosis of medial femoral condyle,Asept necro femur condyl
733.44,Aseptic necrosis of talus,Aseptic necrosis talus
733.45,Aseptic necrosis of bone - jaw,Aseptic necrosis of jaw
733.49,Aseptic necrosis of bone - other,Asept necrosis bone NEC
733.5,Osteitis condensans,Osteitis condensans
733.6,Tietze's disease,Tietze's disease
733.7,Algoneurodystrophy,Algoneurodystrophy
733.81,Malunion of fracture,Malunion of fracture
733.82,Nonunion of fracture,Nonunion of fracture
733.90,Disorder of bone and cartilage - unspecified,Bone & cartilage dis NOS
733.91,Arrest of bone development or growth,Arrest of bone growth
733.92,Chondromalacia,Chondromalacia
733.93,Stress fracture of tibia or fibula,Stress fx tibia/fibula
733.94,Stress fracture of the metatarsals,Stress fx metatarsals
733.95,Stress fracture of other bone,Stress fracture bone NEC
733.96,Stress fracture of femoral neck,Stress fx femoral neck
733.97,Stress fracture of shaft of femur,Stress fx shaft femur
733.98,Stress fracture of pelvis,Stress fx pelvis
733.99,Other disorders of bone and cartilage,Bone & cartilage dis NEC
734.,Flat foot,Flat foot
735.0,Hallux valgus (acquired),Hallux valgus
735.1,Hallux varus (acquired),Hallux varus
735.2,Hallux rigidus,Hallux rigidus
735.3,Hallux malleus,Hallux malleus
735.4,Other hammer toe (acquired),Other hammer toe
735.5,Claw toe (acquired),Claw toe
735.8,Other acquired deformities of toe,Acq deformity of toe NEC
735.9,Unspecified acquired deformity of toe,Acq deformity of toe NOS
736.00,Unspecified deformity of forearm - excluding fingers,Forearm deformity NOS
736.01,Cubitus valgus (acquired),Cubitus valgus
736.02,Cubitus varus (acquired),Cubitus varus
736.03,Valgus deformity of wrist (acquired),Valgus deformity wrist
736.04,Varus deformity of wrist (acquired),Varus deformity wrist
736.05,Wrist drop (acquired),Wrist drop
736.06,Claw hand (acquired),Claw hand
736.07,Club hand - acquired,Club hand - acquired
736.09,Other acquired deformities of forearm - excluding fingers,Forearm deformity NEC
736.1,Mallet finger,Mallet finger
736.20,Unspecified deformity of finger,Acq finger deformity NOS
736.21,Boutonniere deformity,Boutonniere deformity
736.22,Swan-neck deformity,Swan-neck deformity
736.29,Other acquired deformities of finger,Acq finger deformity NEC
736.30,Unspecified acquired deformity of hip,Acq hip deformity NOS
736.31,Coxa valga (acquired),Coxa valga
736.32,Coxa vara (acquired),Coxa vara
736.39,Other acquired deformities of hip,Acq hip deformity NEC
736.41,Genu valgum (acquired),Genu valgum
736.42,Genu varum (acquired),Genu varum
736.5,Genu recurvatum (acquired),Genu recurvatum
736.6,Other acquired deformities of knee,Acq knee deformity NEC
736.70,Unspecified deformity of ankle and foot - acquired,Acq ankle-foot def NOS
736.71,Acquired equinovarus deformity,Acq equinovarus
736.72,Equinus deformity of foot - acquired,Acq equinus deformity
736.73,Cavus deformity of foot - acquired,Cavus deformity of foot
736.74,Claw foot - acquired,Claw foot - acquired
736.75,Cavovarus deformity of foot - acquired,Acq cavovarus deformity
736.76,Other acquired calcaneus deformity,Calcaneus deformity NEC
736.79,Other acquired deformities of ankle and foot,Acq ankle-foot def NEC
736.81,Unequal leg length (acquired),Unequal leg length
736.89,Other acquired deformity of other parts of limb,Oth acq limb deformity
736.9,Acquired deformity of limb - site unspecified,Acq limb deformity NOS
737.0,Adolescent postural kyphosis,Adoles postural kyphosis
737.10,Kyphosis (acquired) (postural),Kyphosis NOS
737.11,Kyphosis due to radiation,Radiation kyphosis
737.12,Kyphosis - postlaminectomy,Postlaminectomy kyphosis
737.19,Other kyphosis (acquired),Kyphosis NEC
737.20,Lordosis (acquired) (postural),Lordosis NOS
737.21,Lordosis - postlaminectomy,Postlaminectomy lordosis
737.22,Other postsurgical lordosis,Oth postsurgery lordosis
737.29,Other lordosis (acquired),Lordosis NEC
737.30,Scoliosis [and kyphoscoliosis] - idiopathic,Idiopathic scoliosis
737.31,Resolving infantile idiopathic scoliosis,Resolv idiopath scolios
737.32,Progressive infantile idiopathic scoliosis,Progr idiopath scoliosis
737.33,Scoliosis due to radiation,Radiation scoliosis
737.34,Thoracogenic scoliosis,Thoracogenic scoliosis
737.39,Other kyphoscoliosis and scoliosis,Scoliosis NEC
737.40,Curvature of spine - unspecified - associated with other conditions,Spin curv NOS in oth dis
737.41,Kyphosis associated with other conditions,Kyphosis in oth dis
737.42,Lordosis associated with other conditions,Lordosis in oth dis
737.43,Scoliosis associated with other conditions,Scoliosis in oth dis
737.8,Other curvatures of spine,Curvature of spine NEC
737.9,Unspecified curvature of spine,Curvature of spine NOS
738.0,Acquired deformity of nose,Acq nose deformity
738.10,Unspecified acquired deformity of head,Unspf acq deformity head
738.11,Zygomatic hyperplasia,Zygomatic hyperplasia
738.12,Zygomatic hypoplasia,Zygomatic hypoplasia
738.19,Other specified acquired deformity of head,Oth spcf deformity head
738.2,Acquired deformity of neck,Acq neck deformity
738.3,Acquired deformity of chest and rib,Acq chest deformity
738.4,Acquired spondylolisthesis,Acq spondylolisthesis
738.5,Other acquired deformity of back or spine,Other acq back deformity
738.6,Acquired deformity of pelvis,Acq pelvic deformity
738.7,Cauliflower ear,Cauliflower ear
738.8,Acquired deformity of other specified site,Acq deformity NEC
738.9,Acquired deformity of unspecified site,Acq deformity NOS
739.0,Nonallopathic lesions - head region,Somat dys head region
739.1,Nonallopathic lesions - cervical region,Somat dysfunc cervic reg
739.2,Nonallopathic lesions - thoracic region,Somat dysfunc thorac reg
739.3,Nonallopathic lesions - lumbar region,Somat dysfunc lumbar reg
739.4,Nonallopathic lesions - sacral region,Somat dysfunc sacral reg
739.5,Nonallopathic lesions - pelvic region,Somat dysfunc pelvic reg
739.6,Nonallopathic lesions - lower extremities,Somat dysfunc lower extr
739.7,Nonallopathic lesions - upper extremities,Somat dysfunc upper extr
739.8,Nonallopathic lesions - rib cage,Somat dysfunc rib cage
739.9,Nonallopathic lesions - abdomen and other sites,Somatic dysfunction NEC
740.0,Anencephalus,Anencephalus
740.1,Craniorachischisis,Craniorachischisis
740.2,Iniencephaly,Iniencephaly
741.00,Spina bifida with hydrocephalus - unspecified region,Spin bif w hydroceph NOS
741.01,Spina bifida with hydrocephalus - cervical region,Spin bif w hydrceph-cerv
741.02,Spina bifida with hydrocephalus - dorsal (thoracic) region,Spin bif w hydrceph-dors
741.03,Spina bifida with hydrocephalus - lumbar region,Spin bif w hydrceph-lumb
741.90,Spina bifida without mention of hydrocephalus - unspecified region,Spina bifida
741.91,Spina bifida without mention of hydrocephalus - cervical region,Spina bifida-cerv
741.92,Spina bifida without mention of hydrocephalus - dorsal (thoracic) region,Spina bifida-dorsal
741.93,Spina bifida without mention of hydrocephalus - lumbar region,Spina bifida-lumbar
742.0,Encephalocele,Encephalocele
742.1,Microcephalus,Microcephalus
742.2,Congenital reduction deformities of brain,Reduction deform - brain
742.3,Congenital hydrocephalus,Congenital hydrocephalus
742.4,Other specified congenital anomalies of brain,Brain anomaly NEC
742.51,Diastematomyelia,Diastematomyelia
742.53,Hydromyelia,Hydromyelia
742.59,Other specified congenital anomalies of spinal cord,Spinal cord anomaly NEC
742.8,Other specified congenital anomalies of nervous system,Nervous system anom NEC
742.9,Unspecified congenital anomaly of brain - spinal cord - and nervous system,Nervous system anom NOS
743.00,Clinical anophthalmos - unspecified,Clinic anophthalmos NOS
743.03,Cystic eyeball - congenital,Congen cystic eyeball
743.06,Cryptophthalmos,Cryptophthalmos
743.10,Microphthalmos - unspecified,Microphthalmos NOS
743.11,Simple microphthalmos,Simple microphthalmos
743.12,Microphthalmos associated with other anomalies of eye and adnexa,Microphth w oth eye anom
743.20,Buphthalmos - unspecified,Buphthalmos NOS
743.21,Simple buphthalmos,Simple buphthalmos
743.22,Buphthalmos associated with other ocular anomalies,Buphthal w oth eye anom
743.30,Congenital cataract - unspecified,Congenital cataract NOS
743.31,Congenital capsular and subcapsular cataract,Capsular cataract
743.32,Congenital cortical and zonular cataract,Cortical/zonular catarac
743.33,Congenital nuclear cataract,Nuclear cataract
743.34,Total and subtotal cataract - congenital,Cong tot/subtot cataract
743.35,Congenital aphakia,Congenital aphakia
743.36,Congenital anomalies of lens shape,Anomalies of lens shape
743.37,Congenital ectopic lens,Congenital ectopic lens
743.39,Other congenital cataract and lens anomalies,Cong catar/lens anom NEC
743.41,Congenital anomalies of corneal size and shape,Anom corneal size/shape
743.42,Corneal opacities - interfering with vision - congenital,Cong cornea opac aff vis
743.43,Other corneal opacities - congenital,Cong corneal opacit NEC
743.44,Specified congenital anomalies of anterior chamber - chamber angle - and related structures,Anom anter chamber-eye
743.45,Aniridia,Aniridia
743.46,Other specified congenital anomalies of iris and ciliary body,Anom iris & cil body NEC
743.47,Specified congenital anomalies of sclera,Anomalies of sclera
743.48,Multiple and combined congenital anomalies of anterior segment,Mult anom anter seg-eye
743.49,Other congenital anomalies of anterior segment,Anom anter seg NEC-eye
743.51,Vitreous anomalies,Vitreous anomalies
743.52,Fundus coloboma,Fundus coloboma
743.53,Chorioretinal degeneration - congenital,Cong chorioretinal degen
743.54,Congenital folds and cysts of posterior segment,Cong fold/cyst post eye
743.55,Congenital macular changes,Cong macular change-eye
743.56,Other retinal changes - congenital,Cong retinal changes NEC
743.57,Specified congenital anomalies of optic disc,Optic disc anomalies
743.58,Vascular anomalies,Vascular anom post eye
743.59,Other congenital anomalies of posterior segment,Post segmnt anom NEC-eye
743.61,Congenital ptosis,Congenital ptosis
743.62,Congenital deformities of eyelids,Congenital eyelid deform
743.63,Other specified congenital anomalies of eyelid,Spec anom of eyelid NEC
743.64,Specified congenital anomalies of lacrimal gland,Spec lacrimal gland anom
743.65,Specified congenital anomalies of lacrimal passages,Spec lacrimal pass anom
743.66,Specified congenital anomalies of orbit,Spec anomaly of orbit
743.69,Other congenital anomalies of eyelids - lacrimal system - and orbit,Anom eyelid/lacr/orb NEC
743.8,Other specified anomalies of eye,Eye anomalies NEC
743.9,Unspecified anomaly of eye,Eye anomaly NOS
744.00,Unspecified anomaly of ear with impairment of hearing,Ear anom NOS/impair hear
744.01,Absence of external ear,Cong absence ext ear
744.02,Other anomalies of external ear with impairment of hearing,Ex ear anm NEC-impr hear
744.03,Anomaly of middle ear - except ossicles,Middle ear anomaly NEC
744.04,Anomalies of ear ossicles,Anomalies ear ossicles
744.05,Anomalies of inner ear,Anomalies of inner ear
744.09,Other anomalies of ear causing impairment of hearing,Ear anom NEC/impair hear
744.1,Accessory auricle,Accessory auricle
744.21,Absence of ear lobe - congenital,Cong absence of ear lobe
744.22,Macrotia,Macrotia
744.23,Microtia,Microtia
744.24,Specified anomalies of Eustachian tube,Eustachian tube anom NEC
744.29,Other specified anomalies of ear,Ear anomalies NEC
744.3,Unspecified anomaly of ear,Ear anomaly NOS
744.41,Branchial cleft sinus or fistula,Branch cleft sinus/fistu
744.42,Branchial cleft cyst,Branchial cleft cyst
744.43,Cervical auricle,Cervical auricle
744.46,Preauricular sinus or fistula,Preauricular sinus/fistu
744.47,Preauricular cyst,Preauricular cyst
744.49,Other branchial cleft cyst or fistula; preauricular sinus,Branchial cleft anom NEC
744.5,Webbing of neck,Webbing of neck
744.81,Macrocheilia,Macrocheilia
744.82,Microcheilia,Microcheilia
744.83,Macrostomia,Macrostomia
744.84,Microstomia,Microstomia
744.89,Other specified congenital anomalies of face and neck,Cong face/neck anom NEC
744.9,Unspecified congenital anomalies of face and neck,Cong face/neck anom NOS
745.0,Common truncus,Common truncus
745.10,Complete transposition of great vessels,Compl transpos great ves
745.11,Double outlet right ventricle,Double outlet rt ventric
745.12,Corrected transposition of great vessels,Correct transpos grt ves
745.19,Other transposition of great vessels,Transpos great vess NEC
745.2,Tetralogy of fallot,Tetralogy of fallot
745.3,Common ventricle,Common ventricle
745.4,Ventricular septal defect,Ventricular sept defect
745.5,Ostium secundum type atrial septal defect,Secundum atrial sept def
745.60,Endocardial cushion defect - unspecified type,Endocard cushion def NOS
745.61,Ostium primum defect,Ostium primum defect
745.69,Other endocardial cushion defects,Endocard cushion def NEC
745.7,Cor biloculare,Cor biloculare
745.8,Other bulbus cordis anomalies and anomalies of cardiac septal closure,Septal closure anom NEC
745.9,Unspecified defect of septal closure,Septal closure anom NOS
746.00,Congenital pulmonary valve anomaly - unspecified,Pulmonary valve anom NOS
746.01,Atresia of pulmonary valve - congenital,Cong pulmon valv atresia
746.02,Stenosis of pulmonary valve - congenital,Cong pulmon valve stenos
746.09,Other congenital anomalies of pulmonary valve,Pulmonary valve anom NEC
746.1,Tricuspid atresia and stenosis - congenital,Cong tricusp atres/sten
746.2,Ebstein's anomaly,Ebstein's anomaly
746.3,Congenital stenosis of aortic valve,Cong aorta valv stenosis
746.4,Congenital insufficiency of aortic valve,Cong aorta valv insuffic
746.5,Congenital mitral stenosis,Congen mitral stenosis
746.6,Congenital mitral insufficiency,Cong mitral insufficienc
746.7,Hypoplastic left heart syndrome,Hypoplas left heart synd
746.81,Subaortic stenosis,Cong subaortic stenosis
746.82,Cor triatriatum,Cor triatriatum
746.83,Infundibular pulmonic stenosis,Infundib pulmon stenosis
746.84,Obstructive anomalies of heart - not elsewhere classified,Obstruct heart anom NEC
746.85,Coronary artery anomaly,Coronary artery anomaly
746.86,Congenital heart block,Congenital heart block
746.87,Malposition of heart and cardiac apex,Malposition of heart
746.89,Other specified congenital anomalies of heart,Cong heart anomaly NEC
746.9,Unspecified congenital anomaly of heart,Cong heart anomaly NOS
747.0,Patent ductus arteriosus,Patent ductus arteriosus
747.10,Coarctation of aorta (preductal) (postductal),Coarctation of aorta
747.11,Interruption of aortic arch,Interrupt of aortic arch
747.20,Anomaly of aorta - unspecified,Cong anom of aorta NOS
747.21,Anomalies of aortic arch,Anomalies of aortic arch
747.22,Atresia and stenosis of aorta,Aortic atresia/stenosis
747.29,Other anomalies of aorta,Cong anom of aorta NEC
747.31,Pulmonary artery coarctation and atresia,Pulmon art coarct/atres
747.32,Pulmonary arteriovenous malformation,Pulmonary AV malformatn
747.39,Other anomalies of pulmonary artery and pulmonary circulation,Oth anom pul artery/circ
747.40,Anomaly of great veins - unspecified,Great vein anomaly NOS
747.41,Total anomalous pulmonary venous connection,Tot anom pulm ven connec
747.42,Partial anomalous pulmonary venous connection,Part anom pulm ven conn
747.49,Other anomalies of great veins,Great vein anomaly NEC
747.5,Absence or hypoplasia of umbilical artery,Umbilical artery absence
747.60,Anomaly of the peripheral vascular system - unspecified site,Unsp prpherl vasc anomal
747.61,Gastrointestinal vessel anomaly,Gstrontest vesl anomaly
747.62,Renal vessel anomaly,Renal vessel anomaly
747.63,Upper limb vessel anomaly,Upr limb vessel anomaly
747.64,Lower limb vessel anomaly,Lwr limb vessel anomaly
747.69,Anomalies of other specified sites of peripheral vascular system,Oth spcf prph vscl anoml
747.81,Anomalies of cerebrovascular system,Cerebrovascular anomaly
747.82,Spinal vessel anomaly,Spinal vessel anomaly
747.83,Persistent fetal circulation,Persistent fetal circ
747.89,Other specified anomalies of circulatory system,Circulatory anomaly NEC
747.9,Unspecified anomaly of circulatory system,Circulatory anomaly NOS
748.0,Choanal atresia,Choanal atresia
748.1,Other anomalies of nose,Nose anomaly NEC
748.2,Web of larynx,Laryngeal web
748.3,Other anomalies of larynx - trachea - and bronchus,Laryngotrach anomaly NEC
748.4,Congenital cystic lung,Congenital cystic lung
748.5,Agenesis - hypoplasia - and dysplasia of lung,Agenesis of lung
748.60,Anomaly of lung - unspecified,Lung anomaly NOS
748.61,Congenital bronchiectasis,Congen bronchiectasis
748.69,Other congenital anomalies of lung,Lung anomaly NEC
748.8,Other specified anomalies of respiratory system,Respiratory anomaly NEC
748.9,Unspecified anomaly of respiratory system,Respiratory anomaly NOS
749.00,Cleft palate - unspecified,Cleft palate NOS
749.01,Cleft palate - unilateral - complete,Unilat cleft palate-comp
749.02,Cleft palate - unilateral - incomplete,Unilat cleft palate-inc
749.03,Cleft palate - bilateral - complete,Bilat cleft palate-compl
749.04,Cleft palate - bilateral - incomplete,Bilat cleft palate-inc
