Diag Code   Short Description               Long Description
73035       Periostitis-pelvis              Periostitis, without mention of osteomyelitis, pelvic region and thigh
73036       Periostitis-l/leg               Periostitis, without mention of osteomyelitis, lower leg
73037       Periostitis-ankle               Periostitis, without mention of osteomyelitis, ankle and foot
73038       Periostitis NEC                 Periostitis, without mention of osteomyelitis, other specified sites
73039       Periostitis-mult                Periostitis, without mention of osteomyelitis, multiple sites
73070       Polio osteopathy-unspec         Osteopathy resulting from poliomyelitis, site unspecified
73071       Polio osteopathy-shlder         Osteopathy resulting from poliomyelitis, shoulder region
73072       Polio osteopathy-up/arm         Osteopathy resulting from poliomyelitis, upper arm
73073       Polio osteopathy-forearm        Osteopathy resulting from poliomyelitis, forearm
73074       Polio osteopathy-hand           Osteopathy resulting from poliomyelitis, hand
73075       Polio osteopathy-pelvis         Osteopathy resulting from poliomyelitis, pelvic region and thigh
73076       Polio osteopathy-l/leg          Osteopathy resulting from poliomyelitis, lower leg
73077       Polio osteopathy-ankle          Osteopathy resulting from poliomyelitis, ankle and foot
73078       Polio osteopathy NEC            Osteopathy resulting from poliomyelitis, other specified sites
73079       Polio osteopathy-mult           Osteopathy resulting from poliomyelitis, multiple sites
73080       Bone infect NEC-unspec          Other infections involving bone in diseases classified elsewhere, site unspecified
73081       Bone infect NEC-shlder          Other infections involving bone in diseases classified elsewhere, shoulder region
73082       Bone infect NEC-up/arm          Other infections involving bone in diseases classified elsewhere, upper arm
73083       Bone infect NEC-forearm         Other infections involving bone in diseases classified elsewhere, forearm
73084       Bone infect NEC-hand            Other infections involving bone in diseases classified elsewhere, hand
73085       Bone infect NEC-pelvis          Other infections involving bone in diseases classified elsewhere, pelvic region and thigh
73086       Bone infect NEC-l/leg           Other infections involving bone in diseases classified elsewhere, lower leg
73087       Bone infect NEC-ankle           Other infections involving bone in diseases classified elsewhere, ankle and foot
73088       Bone infect NEC-oth site        Other infections involving bone in diseases classified elsewhere, other specified sites
73089       Bone infect NEC-mult            Other infections involving bone in diseases classified elsewhere, multiple sites
73090       Bone infec NOS-unsp site        Unspecified infection of bone, site unspecified
73091       Bone infect NOS-shlder          Unspecified infection of bone, shoulder region
73092       Bone infect NOS-up/arm          Unspecified infection of bone, upper arm
73093       Bone infect NOS-forearm         Unspecified infection of bone, forearm
73094       Bone infect NOS-hand            Unspecified infection of bone, hand
73095       Bone infect NOS-pelvis          Unspecified infection of bone, pelvic region and thigh
73096       Bone infect NOS-l/leg           Unspecified infection of bone, lower leg
73097       Bone infect NOS-ankle           Unspecified infection of bone, ankle and foot
73098       Bone infect NOS-oth site        Unspecified infection of bone, other specified sites
73099       Bone infect NOS-mult            Unspecified infection of bone, multiple sites
7310        Osteitis deformans NOS          Osteitis deformans without mention of bone tumor
7311        Osteitis def in oth dis         Osteitis deformans in diseases classified elsewhere
7312        Hypertroph osteoarthrop         Hypertrophic pulmonary osteoarthropathy
7313        Major osseous defects           Major osseous defects
7318        Bone involv in oth dis          Other bone involvement in diseases classified elsewhere
7320        Juv osteochondros spine         Juvenile osteochondrosis of spine
7321        Juv osteochondros pelvis        Juvenile osteochondrosis of hip and pelvis
7322        Femoral epiphysiolysis          Nontraumatic slipped upper femoral epiphysis
7323        Juv osteochondrosis arm         Juvenile osteochondrosis of upper extremity
7324        Juv osteochondrosis leg         Juvenile osteochondrosis of lower extremity, excluding foot
7325        Juv osteochondrosis foot        Juvenile osteochondrosis of foot
7326        Juv osteochondrosis NEC         Other juvenile osteochondrosis
7327        Osteochondrit dissecans         Osteochondritis dissecans
7328        Osteochondropathy NEC           Other specified forms of osteochondropathy
7329        Osteochondropathy NOS           Unspecified osteochondropathy
73300       Osteoporosis NOS                Osteoporosis, unspecified
73301       Senile osteoporosis             Senile osteoporosis
73302       Idiopathic osteoporosis         Idiopathic osteoporosis
73303       Disuse osteoporosis             Disuse osteoporosis
73309       Osteoporosis NEC                Other osteoporosis
73310       Path fx unspecified site        Pathologic fracture, unspecified site
73311       Path fx humerus                 Pathologic fracture of humerus
73312       Path fx dstl radius ulna        Pathologic fracture of distal radius and ulna
73313       Path fx vertebrae               Pathologic fracture of vertebrae
73314       Path fx neck of femur           Pathologic fracture of neck of femur
73315       Path fx oth spcf prt fmr        Pathologic fracture of other specified part of femur
73316       Path fx tibia fibula            Pathologic fracture of tibia or fibula
73319       Path fx oth specif site         Pathologic fracture of other specified site
73320       Cyst of bone NOS                Cyst of bone (localized), unspecified
73321       Solitary bone cyst              Solitary bone cyst
73322       Aneurysmal bone cyst            Aneurysmal bone cyst
73329       Bone cyst NEC                   Other bone cyst
7333        Hyperostosis of skull           Hyperostosis of skull
73340       Asept necrosis bone NOS         Aseptic necrosis of bone, site unspecified
73341       Aseptic necrosis humerus        Aseptic necrosis of head of humerus
73342       Aseptic necrosis femur          Aseptic necrosis of head and neck of femur
73343       Asept necro femur condyl        Aseptic necrosis of medial femoral condyle
73344       Aseptic necrosis talus          Aseptic necrosis of talus
73345       Aseptic necrosis of jaw         Aseptic necrosis of bone, jaw
73349       Asept necrosis bone NEC         Aseptic necrosis of bone, other
7335        Osteitis condensans             Osteitis condensans
7336        Tietze's disease                Tietze's disease
7337        Algoneurodystrophy              Algoneurodystrophy
73381       Malunion of fracture            Malunion of fracture
73382       Nonunion of fracture            Nonunion of fracture
73390       Bone & cartilage dis NOS        Disorder of bone and cartilage, unspecified
73391       Arrest of bone growth           Arrest of bone development or growth
73392       Chondromalacia                  Chondromalacia
73393       Stress fx tibia/fibula          Stress fracture of tibia or fibula
73394       Stress fx metatarsals           Stress fracture of the metatarsals
73395       Stress fracture bone NEC        Stress fracture of other bone
73396       Stress fx femoral neck          Stress fracture of femoral neck
73397       Stress fx shaft femur           Stress fracture of shaft of femur
73398       Stress fx pelvis                Stress fracture of pelvis
73399       Bone & cartilage dis NEC        Other disorders of bone and cartilage
734         Flat foot                       Flat foot
7350        Hallux valgus                   Hallux valgus (acquired)
7351        Hallux varus                    Hallux varus (acquired)
7352        Hallux rigidus                  Hallux rigidus
7353        Hallux malleus                  Hallux malleus
7354        Other hammer toe                Other hammer toe (acquired)
7355        Claw toe                        Claw toe (acquired)
7358        Acq deformity of toe NEC        Other acquired deformities of toe
7359        Acq deformity of toe NOS        Unspecified acquired deformity of toe
73600       Forearm deformity NOS           Unspecified deformity of forearm, excluding fingers
73601       Cubitus valgus                  Cubitus valgus (acquired)
73602       Cubitus varus                   Cubitus varus (acquired)
73603       Valgus deformity wrist          Valgus deformity of wrist (acquired)
73604       Varus deformity wrist           Varus deformity of wrist (acquired)
73605       Wrist drop                      Wrist drop (acquired)
73606       Claw hand                       Claw hand (acquired)
73607       Club hand, acquired             Club hand, acquired
73609       Forearm deformity NEC           Other acquired deformities of forearm, excluding fingers
7361        Mallet finger                   Mallet finger
73620       Acq finger deformity NOS        Unspecified deformity of finger
73621       Boutonniere deformity           Boutonniere deformity
73622       Swan-neck deformity             Swan-neck deformity
73629       Acq finger deformity NEC        Other acquired deformities of finger
73630       Acq hip deformity NOS           Unspecified acquired deformity of hip
73631       Coxa valga                      Coxa valga (acquired)
73632       Coxa vara                       Coxa vara (acquired)
73639       Acq hip deformity NEC           Other acquired deformities of hip
73641       Genu valgum                     Genu valgum (acquired)
73642       Genu varum                      Genu varum (acquired)
7365        Genu recurvatum                 Genu recurvatum (acquired)
7366        Acq knee deformity NEC          Other acquired deformities of knee
73670       Acq ankle-foot def NOS          Unspecified deformity of ankle and foot, acquired
73671       Acq equinovarus                 Acquired equinovarus deformity
73672       Acq equinus deformity           Equinus deformity of foot, acquired
73673       Cavus deformity of foot         Cavus deformity of foot, acquired
73674       Claw foot, acquired             Claw foot, acquired
73675       Acq cavovarus deformity         Cavovarus deformity of foot, acquired
73676       Calcaneus deformity NEC         Other acquired calcaneus deformity
73679       Acq ankle-foot def NEC          Other acquired deformities of ankle and foot
73681       Unequal leg length              Unequal leg length (acquired)
73689       Oth acq limb deformity          Other acquired deformity of other parts of limb
7369        Acq limb deformity NOS          Acquired deformity of limb, site unspecified
7370        Adoles postural kyphosis        Adolescent postural kyphosis
73710       Kyphosis NOS                    Kyphosis (acquired) (postural)
73711       Radiation kyphosis              Kyphosis due to radiation
73712       Postlaminectomy kyphosis        Kyphosis, postlaminectomy
73719       Kyphosis NEC                    Other kyphosis (acquired)
73720       Lordosis NOS                    Lordosis (acquired) (postural)
73721       Postlaminectomy lordosis        Lordosis, postlaminectomy
73722       Oth postsurgery lordosis        Other postsurgical lordosis
73729       Lordosis NEC                    Other lordosis (acquired)
73730       Idiopathic scoliosis            Scoliosis [and kyphoscoliosis], idiopathic
73731       Resolv idiopath scolios         Resolving infantile idiopathic scoliosis
73732       Progr idiopath scoliosis        Progressive infantile idiopathic scoliosis
73733       Radiation scoliosis             Scoliosis due to radiation
73734       Thoracogenic scoliosis          Thoracogenic scoliosis
73739       Scoliosis NEC                   Other kyphoscoliosis and scoliosis
73740       Spin curv NOS in oth dis        Curvature of spine, unspecified, associated with other conditions
73741       Kyphosis in oth dis             Kyphosis associated with other conditions
73742       Lordosis in oth dis             Lordosis associated with other conditions
73743       Scoliosis in oth dis            Scoliosis associated with other conditions
7378        Curvature of spine NEC          Other curvatures of spine
7379        Curvature of spine NOS          Unspecified curvature of spine
7380        Acq nose deformity              Acquired deformity of nose
73810       Unspf acq deformity head        Unspecified acquired deformity of head
73811       Zygomatic hyperplasia           Zygomatic hyperplasia
73812       Zygomatic hypoplasia            Zygomatic hypoplasia
73819       Oth spcf deformity head         Other specified acquired deformity of head
7382        Acq neck deformity              Acquired deformity of neck
7383        Acq chest deformity             Acquired deformity of chest and rib
7384        Acq spondylolisthesis           Acquired spondylolisthesis
7385        Other acq back deformity        Other acquired deformity of back or spine
7386        Acq pelvic deformity            Acquired deformity of pelvis
7387        Cauliflower ear                 Cauliflower ear
7388        Acq deformity NEC               Acquired deformity of other specified site
7389        Acq deformity NOS               Acquired deformity of unspecified site
7390        Somat dys head region           Nonallopathic lesions, head region
7391        Somat dysfunc cervic reg        Nonallopathic lesions, cervical region
7392        Somat dysfunc thorac reg        Nonallopathic lesions, thoracic region
7393        Somat dysfunc lumbar reg        Nonallopathic lesions, lumbar region
7394        Somat dysfunc sacral reg        Nonallopathic lesions, sacral region
7395        Somat dysfunc pelvic reg        Nonallopathic lesions, pelvic region
7396        Somat dysfunc lower extr        Nonallopathic lesions, lower extremities
7397        Somat dysfunc upper extr        Nonallopathic lesions, upper extremities
7398        Somat dysfunc rib cage          Nonallopathic lesions, rib cage
7399        Somatic dysfunction NEC         Nonallopathic lesions, abdomen and other sites
7400        Anencephalus                    Anencephalus
7401        Craniorachischisis              Craniorachischisis
7402        Iniencephaly                    Iniencephaly
74100       Spin bif w hydroceph NOS        Spina bifida with hydrocephalus, unspecified region
74101       Spin bif w hydrceph-cerv        Spina bifida with hydrocephalus, cervical region
74102       Spin bif w hydrceph-dors        Spina bifida with hydrocephalus, dorsal (thoracic) region
74103       Spin bif w hydrceph-lumb        Spina bifida with hydrocephalus, lumbar region
74190       Spina bifida                    Spina bifida without mention of hydrocephalus, unspecified region
74191       Spina bifida-cerv               Spina bifida without mention of hydrocephalus, cervical region
74192       Spina bifida-dorsal             Spina bifida without mention of hydrocephalus, dorsal (thoracic) region
74193       Spina bifida-lumbar             Spina bifida without mention of hydrocephalus, lumbar region
7420        Encephalocele                   Encephalocele
7421        Microcephalus                   Microcephalus
7422        Reduction deform, brain         Congenital reduction deformities of brain
7423        Congenital hydrocephalus        Congenital hydrocephalus
7424        Brain anomaly NEC               Other specified congenital anomalies of brain
74251       Diastematomyelia                Diastematomyelia
74253       Hydromyelia                     Hydromyelia
74259       Spinal cord anomaly NEC         Other specified congenital anomalies of spinal cord
7428        Nervous system anom NEC         Other specified congenital anomalies of nervous system
7429        Nervous system anom NOS         Unspecified congenital anomaly of brain, spinal cord, and nervous system
74300       Clinic anophthalmos NOS         Clinical anophthalmos, unspecified
74303       Congen cystic eyeball           Cystic eyeball, congenital
74306       Cryptophthalmos                 Cryptophthalmos
74310       Microphthalmos NOS              Microphthalmos, unspecified
74311       Simple microphthalmos           Simple microphthalmos
74312       Microphth w oth eye anom        Microphthalmos associated with other anomalies of eye and adnexa
74320       Buphthalmos NOS                 Buphthalmos, unspecified
74321       Simple buphthalmos              Simple buphthalmos
74322       Buphthal w oth eye anom         Buphthalmos associated with other ocular anomalies
74330       Congenital cataract NOS         Congenital cataract, unspecified
74331       Capsular cataract               Congenital capsular and subcapsular cataract
74332       Cortical/zonular catarac        Congenital cortical and zonular cataract
74333       Nuclear cataract                Congenital nuclear cataract
74334       Cong tot/subtot cataract        Total and subtotal cataract, congenital
74335       Congenital aphakia              Congenital aphakia
74336       Anomalies of lens shape         Congenital anomalies of lens shape
74337       Congenital ectopic lens         Congenital ectopic lens
74339       Cong catar/lens anom NEC        Other congenital cataract and lens anomalies
74341       Anom corneal size/shape         Congenital anomalies of corneal size and shape
74342       Cong cornea opac aff vis        Corneal opacities, interfering with vision, congenital
74343       Cong corneal opacit NEC         Other corneal opacities, congenital
74344       Anom anter chamber-eye          Specified congenital anomalies of anterior chamber, chamber angle, and related structures
74345       Aniridia                        Aniridia
74346       Anom iris & cil body NEC        Other specified congenital anomalies of iris and ciliary body
74347       Anomalies of sclera             Specified congenital anomalies of sclera
74348       Mult anom anter seg-eye         Multiple and combined congenital anomalies of anterior segment
74349       Anom anter seg NEC-eye          Other congenital anomalies of anterior segment
74351       Vitreous anomalies              Vitreous anomalies
74352       Fundus coloboma                 Fundus coloboma
74353       Cong chorioretinal degen        Chorioretinal degeneration, congenital
74354       Cong fold/cyst post eye         Congenital folds and cysts of posterior segment
74355       Cong macular change-eye         Congenital macular changes
74356       Cong retinal changes NEC        Other retinal changes, congenital
74357       Optic disc anomalies            Specified congenital anomalies of optic disc
74358       Vascular anom post eye          Vascular anomalies
74359       Post segmnt anom NEC-eye        Other congenital anomalies of posterior segment
74361       Congenital ptosis               Congenital ptosis
74362       Congenital eyelid deform        Congenital deformities of eyelids
74363       Spec anom of eyelid NEC         Other specified congenital anomalies of eyelid
74364       Spec lacrimal gland anom        Specified congenital anomalies of lacrimal gland
74365       Spec lacrimal pass anom         Specified congenital anomalies of lacrimal passages
74366       Spec anomaly of orbit           Specified congenital anomalies of orbit
74369       Anom eyelid/lacr/orb NEC        Other congenital anomalies of eyelids, lacrimal system, and orbit
7438        Eye anomalies NEC               Other specified anomalies of eye
7439        Eye anomaly NOS                 Unspecified anomaly of eye
74400       Ear anom NOS/impair hear        Unspecified anomaly of ear with impairment of hearing
74401       Cong absence ext ear            Absence of external ear
74402       Ex ear anm NEC-impr hear        Other anomalies of external ear with impairment of hearing
74403       Middle ear anomaly NEC          Anomaly of middle ear, except ossicles
74404       Anomalies ear ossicles          Anomalies of ear ossicles
74405       Anomalies of inner ear          Anomalies of inner ear
74409       Ear anom NEC/impair hear        Other anomalies of ear causing impairment of hearing
7441        Accessory auricle               Accessory auricle
74421       Cong absence of ear lobe        Absence of ear lobe, congenital
74422       Macrotia                        Macrotia
74423       Microtia                        Microtia
74424       Eustachian tube anom NEC        Specified anomalies of Eustachian tube
74429       Ear anomalies NEC               Other specified anomalies of ear
7443        Ear anomaly NOS                 Unspecified anomaly of ear
74441       Branch cleft sinus/fistu        Branchial cleft sinus or fistula
74442       Branchial cleft cyst            Branchial cleft cyst
74443       Cervical auricle                Cervical auricle
74446       Preauricular sinus/fistu        Preauricular sinus or fistula
74447       Preauricular cyst               Preauricular cyst
74449       Branchial cleft anom NEC        Other branchial cleft cyst or fistula; preauricular sinus
7445        Webbing of neck                 Webbing of neck
74481       Macrocheilia                    Macrocheilia
74482       Microcheilia                    Microcheilia
74483       Macrostomia                     Macrostomia
74484       Microstomia                     Microstomia
74489       Cong face/neck anom NEC         Other specified congenital anomalies of face and neck
7449        Cong face/neck anom NOS         Unspecified congenital anomalies of face and neck
7450        Common truncus                  Common truncus
74510       Compl transpos great ves        Complete transposition of great vessels
74511       Double outlet rt ventric        Double outlet right ventricle
74512       Correct transpos grt ves        Corrected transposition of great vessels
74519       Transpos great vess NEC         Other transposition of great vessels
7452        Tetralogy of fallot             Tetralogy of fallot
7453        Common ventricle                Common ventricle
7454        Ventricular sept defect         Ventricular septal defect
7455        Secundum atrial sept def        Ostium secundum type atrial septal defect
74560       Endocard cushion def NOS        Endocardial cushion defect, unspecified type
74561       Ostium primum defect            Ostium primum defect
74569       Endocard cushion def NEC        Other endocardial cushion defects
7457        Cor biloculare                  Cor biloculare
7458        Septal closure anom NEC         Other bulbus cordis anomalies and anomalies of cardiac septal closure
7459        Septal closure anom NOS         Unspecified defect of septal closure
74600       Pulmonary valve anom NOS        Congenital pulmonary valve anomaly, unspecified
74601       Cong pulmon valv atresia        Atresia of pulmonary valve, congenital
74602       Cong pulmon valve stenos        Stenosis of pulmonary valve, congenital
74609       Pulmonary valve anom NEC        Other congenital anomalies of pulmonary valve
7461        Cong tricusp atres/sten         Tricuspid atresia and stenosis, congenital
7462        Ebstein's anomaly               Ebstein's anomaly
7463        Cong aorta valv stenosis        Congenital stenosis of aortic valve
7464        Cong aorta valv insuffic        Congenital insufficiency of aortic valve
7465        Congen mitral stenosis          Congenital mitral stenosis
7466        Cong mitral insufficienc        Congenital mitral insufficiency
7467        Hypoplas left heart synd        Hypoplastic left heart syndrome
74681       Cong subaortic stenosis         Subaortic stenosis
74682       Cor triatriatum                 Cor triatriatum
74683       Infundib pulmon stenosis        Infundibular pulmonic stenosis
74684       Obstruct heart anom NEC         Obstructive anomalies of heart, not elsewhere classified
74685       Coronary artery anomaly         Coronary artery anomaly
74686       Congenital heart block          Congenital heart block
74687       Malposition of heart            Malposition of heart and cardiac apex
74689       Cong heart anomaly NEC          Other specified congenital anomalies of heart
7469        Cong heart anomaly NOS          Unspecified congenital anomaly of heart
7470        Patent ductus arteriosus        Patent ductus arteriosus
74710       Coarctation of aorta            Coarctation of aorta (preductal) (postductal)
74711       Interrupt of aortic arch        Interruption of aortic arch
74720       Cong anom of aorta NOS          Anomaly of aorta, unspecified
74721       Anomalies of aortic arch        Anomalies of aortic arch
74722       Aortic atresia/stenosis         Atresia and stenosis of aorta
74729       Cong anom of aorta NEC          Other anomalies of aorta
7473        Pulmonary artery anom           Pulmonary artery anom
74731       Pulmon art coarct/atres         Pulmonary artery coarctation and atresia
74732       Pulmonary AV malformatn         Pulmonary arteriovenous malformation
74739       Oth anom pul artery/circ        Other anomalies of pulmonary artery and pulmonary circulation
74740       Great vein anomaly NOS          Anomaly of great veins, unspecified
74741       Tot anom pulm ven connec        Total anomalous pulmonary venous connection
74742       Part anom pulm ven conn         Partial anomalous pulmonary venous connection
74749       Great vein anomaly NEC          Other anomalies of great veins
7475        Umbilical artery absence        Absence or hypoplasia of umbilical artery
74760       Unsp prpherl vasc anomal        Anomaly of the peripheral vascular system, unspecified site
74761       Gstrontest vesl anomaly         Gastrointestinal vessel anomaly
74762       Renal vessel anomaly            Renal vessel anomaly
74763       Upr limb vessel anomaly         Upper limb vessel anomaly
74764       Lwr limb vessel anomaly         Lower limb vessel anomaly
74769       Oth spcf prph vscl anoml        Anomalies of other specified sites of peripheral vascular system
74781       Cerebrovascular anomaly         Anomalies of cerebrovascular system
74782       Spinal vessel anomaly           Spinal vessel anomaly
74783       Persistent fetal circ           Persistent fetal circulation
74789       Circulatory anomaly NEC         Other specified anomalies of circulatory system
7479        Circulatory anomaly NOS         Unspecified anomaly of circulatory system
7480        Choanal atresia                 Choanal atresia
7481        Nose anomaly NEC                Other anomalies of nose
7482        Laryngeal web                   Web of larynx
7483        Laryngotrach anomaly NEC        Other anomalies of larynx, trachea, and bronchus
7484        Congenital cystic lung          Congenital cystic lung
7485        Agenesis of lung                Agenesis, hypoplasia, and dysplasia of lung
74860       Lung anomaly NOS                Anomaly of lung, unspecified
74861       Congen bronchiectasis           Congenital bronchiectasis
74869       Lung anomaly NEC                Other congenital anomalies of lung
7488        Respiratory anomaly NEC         Other specified anomalies of respiratory system
7489        Respiratory anomaly NOS         Unspecified anomaly of respiratory system
74900       Cleft palate NOS                Cleft palate, unspecified
74901       Unilat cleft palate-comp        Cleft palate, unilateral, complete
74902       Unilat cleft palate-inc         Cleft palate, unilateral, incomplete
74903       Bilat cleft palate-compl        Cleft palate, bilateral, complete
74904       Bilat cleft palate-inc          Cleft palate, bilateral, incomplete
74910       Cleft lip NOS                   Cleft lip, unspecified
74911       Unilat cleft lip-compl          Cleft lip, unilateral, complete
74912       Unilat cleft lip-imcompl        Cleft lip, unilateral, incomplete
74913       Bilat cleft lip-complete        Cleft lip, bilateral, complete
74914       Bilat cleft lip-incompl         Cleft lip, bilateral, incomplete
74920       Cleft palate & lip NOS          Cleft palate with cleft lip, unspecified
74921       Unil cleft palat/lip-com        Cleft palate with cleft lip, unilateral, complete
74922       Unil cleft palat/lip-inc        Cleft palate with cleft lip, unilateral, incomplete
74923       Bilat clft palat/lip-com        Cleft palate with cleft lip, bilateral, complete
74924       Bilat clft palat/lip-inc        Cleft palate with cleft lip, bilateral, incomplete
74925       Cleft palate & lip NEC          Other combinations of cleft palate with cleft lip
7500        Tongue tie                      Tongue tie
75010       Tongue anomaly NOS              Congenital anomaly of tongue, unspecified
75011       Aglossia                        Aglossia
75012       Cong adhesions of tongue        Congenital adhesions of tongue
75013       Cong fissure of tongue          Fissure of tongue
75015       Cong macroglossia               Macroglossia
75016       Microglossia                    Microglossia
75019       Tongue anomaly NEC              Other congenital anomalies of tongue
75021       Salivary gland absence          Absence of salivary gland
75022       Accessory salivary gland        Accessory salivary gland
75023       Cong atresia, saliv duct        Atresia, salivary duct
75024       Cong salivary fistula           Congenital fistula of salivary gland
75025       Congenital lip fistula          Congenital fistula of lip
75026       Mouth anomaly NEC               Other specified anomalies of mouth
75027       Diverticulum of pharynx         Diverticulum of pharynx
75029       Pharyngeal anomaly NEC          Other specified anomalies of pharynx
7503        Cong esoph fistula/atres        Tracheoesophageal fistula, esophageal atresia and stenosis
7504        Esophageal anomaly NEC          Other specified anomalies of esophagus
7505        Cong pyloric stenosis           Congenital hypertrophic pyloric stenosis
7506        Congenital hiatus hernia        Congenital hiatus hernia
7507        Gastric anomaly NEC             Other specified anomalies of stomach
7508        Upper GI anomaly NEC            Other specified anomalies of upper alimentary tract
7509        Upper GI anomaly NOS            Unspecified anomaly of upper alimentary tract
7510        Meckel's diverticulum           Meckel's diverticulum
7511        Atresia small intestine         Atresia and stenosis of small intestine
7512        Atresia large intestine         Atresia and stenosis of large intestine, rectum, and anal canal
7513        Hirschsprung's disease          Hirschsprung's disease and other congenital functional disorders of colon
7514        Intestinal fixation anom        Anomalies of intestinal fixation
7515        Intestinal anomaly NEC          Other anomalies of intestine
75160       Biliary & liver anom NOS        Unspecified anomaly of gallbladder, bile ducts, and liver
75161       Biliary atresia                 Biliary atresia
75162       Cong cystic liver dis           Congenital cystic disease of liver
75169       Biliary & liver anom NEC        Other anomalies of gallbladder, bile ducts, and liver
7517        Pancreas anomalies              Anomalies of pancreas
7518        Anom digestive syst NEC         Other specified anomalies of digestive system
7519        Anom digestive syst NOS         Unspecified anomaly of digestive system
7520        Anomalies of ovaries            Anomalies of ovaries
75210       Tubal/broad lig anom NOS        Unspecified anomaly of fallopian tubes and broad ligaments
75211       Embryonic cyst of adnexa        Embryonic cyst of fallopian tubes and broad ligaments
75219       Tubal/broad lig anom NEC        Other anomalies of fallopian tubes and broad ligaments
7522        Doubling of uterus              Doubling of uterus
7523        Uterine anomaly NEC             Uterine anomaly NEC
75231       Agenesis of uterus              Agenesis of uterus
75232       Hypoplasia of uterus            Hypoplasia of uterus
75233       Unicornuate uterus              Unicornuate uterus
75234       Bicornuate uterus               Bicornuate uterus
75235       Septate uterus                  Septate uterus
75236       Arcuate uterus                  Arcuate uterus
75239       Anomalies of uterus NEC         Other anomalies of uterus
75240       Cervix/fem gen anom NOS         Unspecified anomaly of cervix, vagina, and external female genitalia
75241       Embryon cyst fem gen NEC        Embryonic cyst of cervix, vagina, and external female genitalia
75242       Imperforate hymen               Imperforate hymen
75243       Cervical agenesis               Cervical agenesis
75244       Cervical duplication            Cervical duplication
75245       Vaginal agenesis                Vaginal agenesis
75246       Transv vaginal septum           Transverse vaginal septum
75247       Longitud vaginal septum         Longitudinal vaginal septum
75249       Cervix/fem gen anom NEC         Other anomalies of cervix, vagina, and external female genitalia
75251       Undescended testis              Undescended testis
75252       Retractile testis               Retractile testis
75261       Hypospadias                     Hypospadias
75262       Epispadias                      Epispadias
75263       Congenital chordee              Congenital chordee
75264       Micropenis                      Micropenis
75265       Hidden penis                    Hidden penis
75269       Penile anomalies NEC            Other penile anomalies
7527        Indeterminate sex               Indeterminate sex and pseudohermaphroditism
75281       Scrotal transposition           Scrotal transposition
75289       Genital organ anom NEC          Other specified anomalies of genital organs
7529        Genital organ anom NOS          Unspecified anomaly of genital organs
7530        Renal agenesis                  Renal agenesis and dysgenesis
75310       Cystic kidney diseas NOS        Cystic kidney disease, unspecified
75311       Congenital renal cyst           Congenital single renal cyst
75312       Polycystic kidney NOS           Polycystic kidney, unspecified type
75313       Polycyst kid-autosom dom        Polycystic kidney, autosomal dominant
75314       Polycyst kid-autosom rec        Polycystic kidney, autosomal recessive
75315       Renal dysplasia                 Renal dysplasia
75316       Medullary cystic kidney         Medullary cystic kidney
75317       Medullary sponge kidney         Medullary sponge kidney
75319       Cystic kidney diseas NEC        Other specified cystic kidney disease
75320       Obs dfct ren plv&urt NOS        Unspecified obstructive defect of renal pelvis and ureter
75321       Congen obst urtroplv jnc        Congenital obstruction of ureteropelvic junction
75322       Cong obst ureteroves jnc        Congenital obstruction of ureterovesical junction
75323       Congenital ureterocele          Congenital ureterocele
75329       Obst def ren plv&urt NEC        Other obstructive defects of renal pelvis and ureter
7533        Kidney anomaly NEC              Other specified anomalies of kidney
7534        Ureteral anomaly NEC            Other specified anomalies of ureter
7535        Bladder exstrophy               Exstrophy of urinary bladder
7536        Congen urethral stenosis        Atresia and stenosis of urethra and bladder neck
7537        Anomalies of urachus            Anomalies of urachus
7538        Cystourethral anom NEC          Other specified anomalies of bladder and urethra
7539        Urinary anomaly NOS             Unspecified anomaly of urinary system
7540        Cong skull/face/jaw def         Congenital musculoskeletal deformities of skull, face, and jaw
7541        Congenital torticollis          Congenital musculoskeletal deformities of sternocleidomastoid muscle
7542        Cong postural deformity         Congenital musculoskeletal deformities of spine
75430       Cong hip disloc, unilat         Congenital dislocation of hip, unilateral
75431       Congen hip disloc, bilat        Congenital dislocation of hip, bilateral
75432       Cong hip sublux, unilat         Congenital subluxation of hip, unilateral
75433       Cong hip sublux, bilat          Congenital subluxation of hip, bilateral
75435       Cong hip disloc w sublux        Congenital dislocation of one hip with subluxation of other hip
75440       Cong genu recurvatum            Genu recurvatum
75441       Cong knee dislocation           Congenital dislocation of knee (with genu recurvatum)
75442       Congen bowing of femur          Congenital bowing of femur
75443       Cong bowing tibia/fibula        Congenital bowing of tibia and fibula
75444       Cong bowing leg NOS             Congenital bowing of unspecified long bones of leg
75450       Talipes varus                   Talipes varus
75451       Talipes equinovarus             Talipes equinovarus
75452       Metatarsus primus varus         Metatarsus primus varus
75453       Metatarsus varus                Metatarsus varus
75459       Cong varus foot def NEC         Other varus deformities of feet
75460       Talipes valgus                  Talipes valgus
75461       Congenital pes planus           Congenital pes planus
75462       Talipes calcaneovalgus          Talipes calcaneovalgus
75469       Cong valgus foot def NEC        Other valgus deformities of feet
75470       Talipes NOS                     Talipes, unspecified
75471       Talipes cavus                   Talipes cavus
75479       Cong foot deform NEC            Other deformities of feet
75481       Pectus excavatum                Pectus excavatum
75482       Pectus carinatum                Pectus carinatum
75489       Nonteratogenic anom NEC         Other specified nonteratogenic anomalies
